method,resolution,mean_rel_l2,ci_low,ci_high,time_ms,params
FNO,64,4.73210908e-03,4.34545179e-03,5.15129418e-03,0.156541,565889
FNO,128,4.72697291e-03,4.34924635e-03,5.13369035e-03,0.240949,565889
FNO,256,4.72616286e-03,4.34949244e-03,5.13483544e-03,0.511303,565889
FNO,512,4.72615424e-03,4.34947614e-03,5.13483046e-03,0.941777,565889
FNO,1024,4.72615475e-03,4.34947631e-03,5.13482724e-03,2.132908,565889
FNO,2048,4.72615345e-03,4.34947454e-03,5.13482721e-03,4.447632,565889
U-Net,64,1.40200099e-01,1.27251878e-01,1.54145818e-01,0.367080,563041
U-Net,128,3.25104252e-01,3.00040230e-01,3.55220722e-01,0.898631,563041
U-Net,256,4.46689347e-01,4.10461763e-01,4.90620182e-01,1.148945,563041
U-Net,512,4.93036064e-01,4.52211491e-01,5.40777998e-01,2.510695,563041
U-Net,1024,5.08093839e-01,4.65907496e-01,5.57166723e-01,5.345018,563041
U-Net,2048,5.12634543e-01,4.70096891e-01,5.62099372e-01,11.691203,563041
