sample_index,split,nu,method,rel_l2,rel_linf
1,test,0.1,FNO,4.76869519e-03,1.27263722e-02
1,test,0.1,FDM,1.45388241e-03,1.50821227e-03
1,test,0.01,FNO,3.86961752e-03,5.53752259e-03
1,test,0.01,FDM,9.90000071e-04,9.94025107e-04
1,test,0.001,FNO,5.83523691e-03,8.39589908e-03
1,test,0.001,FDM,1.32712910e-03,2.06814070e-03
4,test,0.1,FNO,3.28900034e-03,7.86369307e-03
4,test,0.1,FDM,1.30674182e-04,2.07579555e-04
4,test,0.01,FNO,4.03803843e-03,6.55458688e-03
4,test,0.01,FDM,9.17709004e-04,1.12412288e-03
4,test,0.001,FNO,5.67351176e-03,9.84888403e-03
4,test,0.001,FDM,1.42908181e-03,1.55436306e-03
19,test,0.1,FNO,7.97498959e-03,1.91521748e-02
19,test,0.1,FDM,8.36622373e-04,9.03289239e-04
19,test,0.01,FNO,8.58090672e-03,1.03007030e-02
19,test,0.01,FDM,1.05247555e-03,1.16667007e-03
19,test,0.001,FNO,1.04344713e-02,1.68903371e-02
19,test,0.001,FDM,2.19470481e-03,2.80360091e-03
21,test,0.1,FNO,6.12268943e-02,9.48690673e-02
21,test,0.1,FDM,1.90453856e-03,2.06745175e-03
21,test,0.01,FNO,4.66506288e-03,7.02858296e-03
21,test,0.01,FDM,9.98646121e-04,1.46847373e-03
21,test,0.001,FNO,6.95834059e-03,1.06275089e-02
21,test,0.001,FDM,1.69342534e-03,2.51624188e-03
22,test,0.1,FNO,1.76243337e-03,3.83405736e-03
22,test,0.1,FDM,2.26881241e-04,2.71710810e-04
22,test,0.01,FNO,2.33680589e-03,3.62184875e-03
22,test,0.01,FDM,4.74480903e-04,6.74203090e-04
22,test,0.001,FNO,7.00099981e-03,1.27016152e-02
22,test,0.001,FDM,9.53519486e-04,1.84642659e-03
23,test,0.1,FNO,2.37733582e-03,5.45073596e-03
23,test,0.1,FDM,2.67737041e-04,3.11291310e-04
23,test,0.01,FNO,3.06414706e-03,5.14496759e-03
23,test,0.01,FDM,3.98418479e-04,5.24812619e-04
23,test,0.001,FNO,5.41076894e-03,8.57704769e-03
23,test,0.001,FDM,7.82551648e-04,1.61081750e-03
25,test,0.1,FNO,1.44867115e-02,3.14859798e-02
25,test,0.1,FDM,6.84356883e-04,9.33533494e-04
25,test,0.01,FNO,5.36775903e-03,8.87931583e-03
25,test,0.01,FDM,5.91868122e-04,9.29589669e-04
25,test,0.001,FNO,1.33957030e-02,1.94239350e-02
25,test,0.001,FDM,1.80867126e-03,2.67469409e-03
26,test,0.1,FNO,2.47020361e-03,5.95795731e-03
26,test,0.1,FDM,1.37155240e-03,1.41864037e-03
26,test,0.01,FNO,2.69457229e-03,3.90927168e-03
26,test,0.01,FDM,1.30377285e-03,1.25697697e-03
26,test,0.001,FNO,5.57127229e-03,6.81107674e-03
26,test,0.001,FDM,1.51400309e-03,2.10270140e-03
27,test,0.1,FNO,1.00707976e-03,2.30078163e-03
27,test,0.1,FDM,6.94703903e-05,9.95267376e-05
27,test,0.01,FNO,1.91001545e-03,2.74998905e-03
27,test,0.01,FDM,1.54614643e-04,1.98691510e-04
27,test,0.001,FNO,6.75108709e-03,1.17028735e-02
27,test,0.001,FDM,7.59379509e-04,1.39115915e-03
29,test,0.1,FNO,5.99089641e-03,1.59658164e-02
29,test,0.1,FDM,7.58490631e-05,1.27527452e-04
29,test,0.01,FNO,6.80365847e-03,1.30826488e-02
29,test,0.01,FDM,1.27470415e-03,1.73660533e-03
29,test,0.001,FNO,1.73717998e-02,2.76929619e-02
29,test,0.001,FDM,2.62879683e-03,4.93788476e-03
31,test,0.1,FNO,1.32087963e-02,3.17817771e-02
31,test,0.1,FDM,2.06137442e-03,2.12757449e-03
31,test,0.01,FNO,5.46141101e-03,8.20624013e-03
31,test,0.01,FDM,1.25447892e-03,1.55939856e-03
31,test,0.001,FNO,9.86548610e-03,1.15573929e-02
31,test,0.001,FDM,2.42096076e-03,2.34982631e-03
36,test,0.1,FNO,2.51990216e-03,4.91463791e-03
36,test,0.1,FDM,1.35569622e-04,1.84887556e-04
36,test,0.01,FNO,8.60103937e-03,1.26957868e-02
36,test,0.01,FDM,2.38987698e-04,4.71425292e-04
36,test,0.001,FNO,2.47634570e-02,3.78268614e-02
36,test,0.001,FDM,1.22851429e-03,3.43365247e-03
40,test,0.1,FNO,5.38066917e-03,1.42410278e-02
40,test,0.1,FDM,5.44774017e-04,6.06312699e-04
