wavenumber,kmax8,kmax12,kmax16,kmax20,kmax24,kmax32
0,1.09675778e-05,1.37698031e-05,1.38889650e-05,1.88711544e-05,1.08151925e-05,1.06185470e-05
1,1.61843568e-06,1.22234968e-06,9.87244450e-07,8.49606236e-07,1.21403834e-06,1.44228210e-06
2,1.91204633e-06,2.03398774e-06,2.31585092e-06,4.99391092e-06,2.05133921e-06,1.62218962e-06
3,1.45773649e-05,1.76413994e-05,1.92530371e-05,2.06616199e-05,1.60697826e-05,1.52079424e-05
4,2.69476800e-05,3.09610508e-05,3.34791263e-05,3.57865927e-05,2.67815744e-05,2.93605295e-05
5,2.63665208e-05,2.94905589e-05,2.86247521e-05,2.96172427e-05,2.39396029e-05,2.54503160e-05
6,2.42708679e-05,2.78891548e-05,2.63151206e-05,2.62670659e-05,2.32609474e-05,2.26776834e-05
7,1.69846255e-05,1.83459118e-05,1.73211301e-05,1.61130199e-05,1.54988193e-05,1.61933156e-05
8,7.04180196e-06,7.12258024e-06,6.99715509e-06,7.47035171e-06,6.65919100e-06,6.82073200e-06
9,1.12032359e-05,2.27332813e-06,2.30708576e-06,2.28667352e-06,2.15187733e-06,2.23941960e-06
10,7.80742777e-06,7.45639650e-07,7.57670896e-07,6.32099817e-07,7.04680024e-07,7.81592796e-07
11,4.73435121e-06,3.71369830e-07,3.74177923e-07,2.39046718e-07,3.45946412e-07,4.19782297e-07
12,3.53236149e-06,3.17464642e-07,3.17368850e-07,1.80111367e-07,3.12934756e-07,3.76417940e-07
13,2.45613625e-06,2.88596233e-06,2.99915569e-07,1.71592277e-07,3.07721256e-07,3.53316059e-07
14,1.80481138e-06,2.12349360e-06,3.08009041e-07,1.89975365e-07,3.26537621e-07,3.57446499e-07
15,1.47931715e-06,1.74189286e-06,3.41517325e-07,2.22685728e-07,3.68417022e-07,3.89735235e-07
16,1.22177495e-06,1.44589229e-06,3.47083460e-07,2.28826446e-07,3.75541791e-07,3.89514913e-07
17,8.24688251e-07,9.70946995e-07,1.04261763e-06,2.04015524e-07,3.25599935e-07,3.28011125e-07
18,6.06691015e-07,7.16471534e-07,7.71529806e-07,1.81729828e-07,2.85580822e-07,2.82199873e-07
19,5.11290097e-07,6.06767224e-07,6.54223690e-07,1.86050004e-07,2.87677912e-07,2.79101238e-07
20,4.80821847e-07,5.69294321e-07,6.12115780e-07,2.01194570e-07,3.07884726e-07,2.95468809e-07
21,4.13668891e-07,4.90228322e-07,5.25797677e-07,4.46522226e-07,3.15189298e-07,2.96679590e-07
22,3.00362830e-07,3.55430998e-07,3.81481668e-07,3.23971581e-07,2.40836263e-07,2.25515615e-07
23,2.67047387e-07,3.16802377e-07,3.40725535e-07,2.89968420e-07,2.33275062e-07,2.16411494e-07
24,2.56877471e-07,3.03964665e-07,3.27099590e-07,2.78756677e-07,2.44069334e-07,2.24662960e-07
25,2.23093027e-07,2.64018966e-07,2.83666546e-07,2.41418470e-07,3.48217272e-07,2.04099198e-07
26,1.78023571e-07,2.09505745e-07,2.26612199e-07,1.92072545e-07,2.76440402e-07,1.68716948e-07
27,1.58202676e-07,1.87888002e-07,2.01245913e-07,1.71393946e-07,2.48112306e-07,1.52358308e-07
28,1.42462855e-07,1.68612510e-07,1.81130253e-07,1.53780351e-07,2.22767302e-07,1.42151147e-07
29,1.38722604e-07,1.64033406e-07,1.76627393e-07,1.50342916e-07,2.16860679e-07,1.42291730e-07
30,1.35368646e-07,1.60329845e-07,1.72236464e-07,1.46805512e-07,2.11995223e-07,1.38923190e-07
31,1.23895587e-07,1.46970716e-07,1.58129789e-07,1.34834215e-07,1.94488749e-07,1.29933117e-07
32,1.46496712e-07,1.73516988e-07,1.87772092e-07,1.59708026e-07,2.29834009e-07,1.76155927e-07
